Category: All categories

Day,Andrew Tate: (Worldwide),Joe Biden: (Worldwide),Donald Trump: (Worldwide),Elon Musk: (Worldwide),Kim Kardashian: (Worldwide)
2022-07-01,6,5,5,13,14
2022-07-02,5,5,4,17,16
2022-07-03,6,5,4,16,15
2022-07-04,4,5,4,13,15
2022-07-05,4,5,4,11,13
2022-07-06,5,5,4,12,15
2022-07-07,5,6,5,37,15
2022-07-08,5,9,5,37,17
2022-07-09,6,10,5,45,16
2022-07-10,6,8,5,24,17
2022-07-11,8,9,5,20,15
2022-07-12,11,10,6,18,17
2022-07-13,15,10,7,20,18
2022-07-14,18,8,25,17,18
2022-07-15,14,8,34,27,15
2022-07-16,15,7,16,22,15
2022-07-17,15,6,10,18,16
2022-07-18,14,5,7,15,13
2022-07-19,12,5,6,18,12
2022-07-20,12,7,8,19,13
2022-07-21,12,24,12,20,14
2022-07-22,17,17,12,17,14
2022-07-23,17,10,8,19,13
2022-07-24,16,8,7,24,13
2022-07-25,14,6,5,29,12
2022-07-26,13,6,5,17,12
2022-07-27,14,6,6,14,13
2022-07-28,15,7,6,13,12
2022-07-29,17,6,6,13,13
2022-07-30,16,7,6,13,13
2022-07-31,15,9,6,14,13
2022-08-01,15,7,6,15,12
2022-08-02,18,7,6,12,12
2022-08-03,17,5,5,11,13
2022-08-04,20,5,5,12,14
2022-08-05,19,5,5,14,17
2022-08-06,18,5,5,14,100
2022-08-07,17,6,5,13,42
2022-08-08,17,6,6,11,34
2022-08-09,19,7,25,11,27
2022-08-10,25,6,14,14,21
2022-08-11,21,5,11,15,17
2022-08-12,19,5,15,12,16
2022-08-13,16,4,12,12,15
2022-08-14,17,4,9,12,19
2022-08-15,18,4,9,10,16
2022-08-16,16,5,8,11,15
2022-08-17,14,4,7,34,14
2022-08-18,18,4,7,14,13
2022-08-19,38,4,6,13,12
2022-08-20,47,4,6,13,13
2022-08-21,34,4,5,14,13
2022-08-22,33,4,5,14,12
2022-08-23,34,5,6,12,12
2022-08-24,41,11,6,12,12
2022-08-25,34,7,5,12,12
2022-08-26,28,6,7,12,12
2022-08-27,22,5,7,12,13
2022-08-28,19,4,6,12,12
2022-08-29,15,5,6,13,14
