Category: All categories

Day,Andrew Tate: (Worldwide),Joe Biden: (Worldwide),Donald Trump: (Worldwide)
2022-07-01,12,11,10
2022-07-02,11,11,9
2022-07-03,12,10,9
2022-07-04,9,10,10
2022-07-05,8,11,10
2022-07-06,10,10,9
2022-07-07,11,12,10
2022-07-08,11,19,11
2022-07-09,13,21,11
2022-07-10,13,16,11
2022-07-11,16,19,11
2022-07-12,22,21,13
2022-07-13,28,21,15
2022-07-14,36,17,50
2022-07-15,31,18,68
2022-07-16,30,16,36
2022-07-17,30,13,21
2022-07-18,30,12,15
2022-07-19,26,11,13
2022-07-20,25,16,17
2022-07-21,27,53,27
2022-07-22,34,36,25
2022-07-23,35,21,18
2022-07-24,31,18,14
2022-07-25,32,13,11
2022-07-26,27,12,11
2022-07-27,28,13,13
2022-07-28,32,15,12
2022-07-29,33,12,12
2022-07-30,32,15,12
2022-07-31,31,18,13
2022-08-01,31,14,12
2022-08-02,39,14,12
2022-08-03,37,11,10
2022-08-04,42,11,10
2022-08-05,42,11,10
2022-08-06,39,10,11
2022-08-07,39,12,11
2022-08-08,36,11,13
2022-08-09,42,15,49
2022-08-10,54,14,32
2022-08-11,44,11,23
2022-08-12,41,10,31
2022-08-13,34,8,26
2022-08-14,36,8,20
2022-08-15,33,8,19
2022-08-16,33,10,17
2022-08-17,30,10,16
2022-08-18,36,8,15
2022-08-19,84,8,13
2022-08-20,100,8,12
2022-08-21,70,8,11
2022-08-22,67,8,11
2022-08-23,69,10,13
2022-08-24,85,22,12
2022-08-25,71,14,11
2022-08-26,58,13,15
2022-08-27,47,10,14
